DATE,CAUR
2007-01-01,5.3083333333333333
2008-01-01,7.3000000000000000
2009-01-01,11.5416666666666667
2010-01-01,12.4583333333333333
2011-01-01,11.8916666666666667
2012-01-01,10.5250000000000000
2013-01-01,9.0333333333333333
2014-01-01,7.5666666666666667
2015-01-01,6.2250000000000000
2016-01-01,5.5166666666666667
2017-01-01,4.8333333333333333
2018-01-01,4.2583333333333333
2019-01-01,4.1000000000000000
2020-01-01,10.1916666666666667
2021-01-01,7.3250000000000000
2022-01-01,4.2750000000000000
2023-01-01,4.7416666666666667
2024-01-01,.
